archivo,filas,columnas,departamentos,cantidad_municipios,municipios,estado
establecimiento_10_new.csv,183,17,JALAPA,7,JALAPA | MATAQUESCUINTLA | MONJAS | SAN CARLOS ALZATATE | SAN LUIS JILOTEPEQUE | SAN MANUEL CHAPARRON | SAN PEDRO PINULA,Correcto
establecimiento_11_new.csv,392,17,JUTIAPA,17,AGUA BLANCA | ASUNCION MITA | ATESCATEMPA | COMAPA | CONGUACO | EL ADELANTO | EL PROGRESO | JALPATAGUA | JEREZ | JUTIAPA | MOYUTA | PASACO | QUESADA | SAN JOSE ACATEMPA | SANTA CATARINA MITA | YUPILTEPEQUE | ZAPOTITLAN,Correcto
establecimiento_12_new.csv,516,17,PETEN,14,DOLORES | EL CHAL | FLORES | LA LIBERTAD | LAS CRUCES | MELCHOR DE MENCOS | POPTUN | SAN ANDRES | SAN BENITO | SAN FRANCISCO | SAN JOSE | SAN LUIS | SANTA ANA | SAYAXCHE,Correcto
establecimiento_13_new.csv,551,17,QUETZALTENANGO,24,ALMOLONGA | CABRICAN | CAJOLA | CANTEL | COATEPEQUE | COLOMBA COSTA CUCA | CONCEPCION CHIQUIRICHAPA | EL PALMAR | FLORES COSTA CUCA | GENOVA COSTA CUCA | HUITAN | LA ESPERANZA | OLINTEPEQUE | PALESTINA DE LOS ALTOS | QUETZALTENANGO | SALCAJA | SAN CARLOS SIJA | SAN FRANCISCO LA UNION | SAN JUAN OSTUNCALCO | SAN MARTIN SACATEPEQUEZ | SAN MATEO | SAN MIGUEL SIGUILA | SIBILIA | ZUNIL,Correcto
establecimiento_14_new.csv,322,17,QUICHE,21,CANILLA | CHAJUL | CHICAMAN | CHICHE | CHINIQUE | CUNEN | IXCAN | JOYABAJ | NEBAJ | PACHALUN | PATZITE | SACAPULAS | SAN ANDRES SAJCABAJA | SAN ANTONIO ILOTENANGO | SAN BARTOLOME JOCOTENANGO | SAN JUAN COTZAL | SAN MIGUEL USPANTAN | SAN PEDRO JOCOPILAS | SANTA CRUZ DEL QUICHE | SANTO TOMAS CHICHICASTENANGO | ZACUALPA,Correcto
establecimiento_15_new.csv,364,17,RETALHULEU,9,CHAMPERICO | EL ASINTAL | NUEVO SAN CARLOS | RETALHULEU | SAN ANDRES VILLA SECA | SAN FELIPE | SAN MARTIN ZAPOTITLAN | SAN SEBASTIAN | SANTA CRUZ MULUA,Correcto
establecimiento_16_new.csv,430,17,SACATEPEQUEZ,16,ALOTENANGO | ANTIGUA GUATEMALA | CIUDAD VIEJA | JOCOTENANGO | MAGDALENA MILPAS ALTAS | PASTORES | SAN ANTONIO AGUAS CALIENTES | SAN BARTOLOME MILPAS ALTAS | SAN LUCAS SACATEPEQUEZ | SAN MIGUEL DUENAS | SANTA CATARINA BARAHONA | SANTA LUCIA MILPAS ALTAS | SANTA MARIA DE JESUS | SANTIAGO SACATEPEQUEZ | SANTO DOMINGO XENACOJ | SUMPANGO,Correcto
establecimiento_17_new.csv,724,17,SAN MARCOS,30,AYUTLA | CATARINA | COMITANCILLO | CONCEPCION TUTUAPA | EL QUETZAL | EL TUMBADOR | ESQUIPULAS PALO GORDO | IXCHIGUAN | LA BLANCA | LA REFORMA | MALACATAN | NUEVO PROGRESO | OCOS | PAJAPITA | RIO BLANCO | SAN ANTONIO SACATEPEQUEZ | SAN CRISTOBAL CUCHO | SAN JOSE EL RODEO | SAN JOSE OJETENAM | SAN LORENZO | SAN MARCOS | SAN MIGUEL IXTAHUACAN | SAN PABLO | SAN PEDRO SACATEPEQUEZ | SAN RAFAEL PIE DE LA CUESTA | SIBINAL | SIPACAPA | TACANA | TAJUMULCO | TEJUTLA,Correcto
establecimiento_18_new.csv,213,17,SANTA ROSA,14,BARBERENA | CASILLAS | CHIQUIMULILLA | CUILAPA | GUAZACAPAN | NUEVA SANTA ROSA | ORATORIO | PUEBLO NUEVO VIÑAS | SAN JUAN TECUACO | SAN RAFAEL LAS FLORES | SANTA CRUZ NARANJO | SANTA MARIA IXHUATAN | SANTA ROSA DE LIMA | TAXISCO,Correcto
establecimiento_19_new.csv,192,17,SOLOLA,16,NAHUALA | PANAJACHEL | SAN ANDRES SEMETABAJ | SAN ANTONIO PALOPO | SAN JOSE CHACAYA | SAN JUAN LA LAGUNA | SAN LUCAS TOLIMAN | SAN MARCOS LA LAGUNA | SAN PABLO LA LAGUNA | SAN PEDRO LA LAGUNA | SANTA CATARINA IXTAHUACAN | SANTA CLARA LA LAGUNA | SANTA LUCIA UTATLAN | SANTA MARIA VISITACION | SANTIAGO ATITLAN | SOLOLA,Correcto
establecimiento_1_new.csv,171,17,BAJA VERAPAZ,8,CUBULCO | GRANADOS | PURULHA | RABINAL | SALAMA | SAN JERONIMO | SAN MIGUEL CHICAJ | SANTA CRUZ EL CHOL,Correcto
establecimiento_20_new.csv,437,17,SUCHITEPEQUEZ,20,CHICACAO | CUYOTENANGO | MAZATENANGO | PATULUL | PUEBLO NUEVO | RIO BRAVO | SAMAYAC | SAN ANTONIO SUCHITEPEQUEZ | SAN BERNARDINO | SAN FRANCISCO ZAPOTITLAN | SAN GABRIEL | SAN JOSE EL IDOLO | SAN JOSE LA MAQUINA | SAN LORENZO | SAN MIGUEL PANAM | SAN PABLO JOCOPILAS | SANTA BARBARA | SANTO DOMINGO SUCHITEPEQUEZ | SANTO TOMAS LA UNION | ZUNILITO,Correcto
establecimiento_21_new.csv,128,17,TOTONICAPAN,8,MOMOSTENANGO | SAN ANDRES XECUL | SAN BARTOLO AGUAS CALIENTES | SAN CRISTOBAL TOTONICAPAN | SAN FRANCISCO EL ALTO | SANTA LUCIA LA REFORMA | SANTA MARIA CHIQUIMULA | TOTONICAPAN,Correcto
establecimiento_22_new.csv,156,17,ZACAPA,11,CABAÑAS | ESTANZUELA | GUALAN | HUITE | LA UNION | RIO HONDO | SAN DIEGO | SAN JORGE | TECULUTAN | USUMATLAN | ZACAPA,Correcto
establecimiento_2_new.csv,435,17,CHIMALTENANGO,16,ACATENANGO | CHIMALTENANGO | EL TEJAR | PARRAMOS | PATZICIA | PATZUN | SAN ANDRES ITZAPA | SAN JOSE POAQUIL | SAN JUAN COMALAPA | SAN MARTIN JILOTEPEQUE | SAN MIGUEL POCHUTA | SAN PEDRO YEPOCAPA | SANTA APOLONIA | SANTA CRUZ BALANYA | TECPAN GUATEMALA | ZARAGOZA,Correcto
establecimiento_3_new.csv,239,17,CHIQUIMULA,11,CAMOTAN | CHIQUIMULA | CONCEPCION LAS MINAS | ESQUIPULAS | IPALA | JOCOTAN | OLOPA | QUEZALTEPEQUE | SAN JACINTO | SAN JOSE LA ARADA | SAN JUAN ERMITA,Correcto
establecimiento_4_new.csv,2161,17,CIUDAD CAPITAL,22,ZONA 1 | ZONA 10 | ZONA 11 | ZONA 12 | ZONA 13 | ZONA 14 | ZONA 15 | ZONA 16 | ZONA 17 | ZONA 18 | ZONA 19 | ZONA 2 | ZONA 21 | ZONA 24 | ZONA 25 | ZONA 3 | ZONA 4 | ZONA 5 | ZONA 6 | ZONA 7 | ZONA 8 | ZONA 9,Correcto
establecimiento_5_new.csv,158,17,EL PROGRESO,8,EL JICARO | GUASTATOYA | MORAZAN | SAN AGUSTIN ACASAGUASTLAN | SAN ANTONIO LA PAZ | SAN CRISTOBAL ACASAGUASTLAN | SANARATE | SANSARE,Correcto
establecimiento_6_new.csv,708,17,ESCUINTLA,14,ESCUINTLA | GUANAGAZAPA | IZTAPA | LA DEMOCRACIA | LA GOMERA | MASAGUA | NUEVA CONCEPCION | PALIN | SAN JOSE | SAN VICENTE PACAYA | SANTA LUCIA COTZUMALGUAPA | SIPACATE | SIQUINALA | TIQUISATE,Correcto
establecimiento_7_new.csv,1908,17,GUATEMALA,17,AMATITLAN | CHINAUTLA | CHUARRANCHO | FRAIJANES | GUATEMALA | MIXCO | PALENCIA | SAN JOSE DEL GOLFO | SAN JOSE PINULA | SAN JUAN SACATEPEQUEZ | SAN MIGUEL PETAPA | SAN PEDRO AYAMPUC | SAN PEDRO SACATEPEQUEZ | SAN RAYMUNDO | SANTA CATARINA PINULA | VILLA CANALES | VILLA NUEVA,Correcto
establecimiento_8_new.csv,591,17,HUEHUETENANGO,33,AGUACATAN | CHIANTLA | COLOTENANGO | CONCEPCION HUISTA | CUILCO | HUEHUETENANGO | JACALTENANGO | LA DEMOCRACIA | LA LIBERTAD | MALACATANCITO | NENTON | PETATAN | SAN ANTONIO HUISTA | SAN GASPAR IXCHIL | SAN ILDEFONSO IXTAHUACAN | SAN JUAN ATITAN | SAN JUAN IXCOY | SAN MATEO IXTATAN | SAN MIGUEL ACATAN | SAN PEDRO NECTA | SAN PEDRO SOLOMA | SAN RAFAEL LA INDEPENDENCIA | SAN RAFAEL PETZAL | SAN SEBASTIAN COATAN | SAN SEBASTIAN HUEHUETENANGO | SANTA ANA HUISTA | SANTA BARBARA | SANTA CRUZ BARILLAS | SANTA EULALIA | SANTIAGO CHIMALTENANGO | TECTITAN | TODOS SANTOS CUCHUMATAN | UNION CANTINIL,Correcto
establecimiento_9_new.csv,413,17,IZABAL,5,EL ESTOR | LIVINGSTON | LOS AMATES | MORALES | PUERTO BARRIOS,Correcto
establecimiento_new.csv,475,17,ALTA VERAPAZ,17,CHAHAL | CHISEC | COBAN | FRAY BARTOLOME DE LAS CASAS | LA TINTA | LANQUIN | PANZOS | RAXRUHA | SAN CRISTOBAL VERAPAZ | SAN JUAN CHAMELCO | SAN MIGUEL TUCURU | SAN PEDRO CARCHA | SANTA CRUZ VERAPAZ | SANTA MARIA CAHABON | SENAHU | TACTIC | TAMAHU,Correcto
